text,label,category
"Your Bank of Baroda A/c XX8834 is credited with Rs 4,999 salary on 01-09. Available balance Rs 62,410.",safe,safe_none
"We are from Mumbai Cyber Cell. To prove your money is clean, deposit it in this safe government account rbi.verify@okicici. It will be returned in 2 hours.",scam,digital_arrest
"Paytm: You paid Rs 25,000 to Kirana Store. UPI Ref 3348219. Thank you.",safe,safe_none
"Your ICICI Bank A/c XX8834 is credited with Rs 3,499 salary on 01-09. Available balance Rs 62,410.",safe,safe_none
"Aapne KBC lottery mein 50 Lakh jeeta hai! Claim karne ke liye winner.claim@paytm par 3,499 bhejein.",scam,lottery_prize
"557813 is your One Time Password for a Paytm transaction of Rs 3,499. Valid for 10 minutes. Never share it.",safe,safe_none
Work from home job! Earn Rs 5000 per day just by liking YouTube videos. No experience needed. WhatsApp us now.,scam,job_investment
URGENT: HDFC Bank netbanking suspended. Re-verify your PAN and Aadhaar now: http://bit.ly/3xKyc9,scam,kyc_bank
Your PNB account statement for August is attached in the secure inbox at https://www.irctc.co.in,safe,safe_none
"To receive your cashback of Rs 75,000 scan the QR and enter your UPI PIN now.",scam,upi_collect
India Post: shipment could not be delivered. Update the address within 1 hour at https://axisbank.verify-account.click/login or it will be returned.,scam,delivery_parcel
"Attention customer, your net banking password expires in 3 hours. Reset immediately using this secure link http://bit.ly/nbreset otherwise access will be denied.",scam,kyc_bank
"Hi Farhan, sending the meeting notes from today. Let me know if I missed anything.",safe,safe_none
Your OTP for login is 437413. Do not share this OTP with anyone. - Canara Bank,safe,safe_none
"We matched on the matrimony site. I am posted abroad in the army. Please send Rs 2,500 for my leave papers.",scam,romance_matrimonial
"Your cab is arriving in 3 minutes. Driver Suresh, white hatchback, DL3C 4421.",safe,safe_none
"NGO temple donation drive, transfer to refund.helpdesk@okaxis. Your name will be announced in the prayer in today 6 PM.",scam,charity_donation
"Your policy premium of Rs 4,999 has been received. The policy remains active. Thank you.",safe,safe_none
"Customs Department speaking. Your bank account is linked to a terror funding case. Stay on the call, do not tell anyone, not even family.",scam,digital_arrest
"Dear Customer, Rs 4,999 debited from your Canara Bank A/c XX4521 on 12-08 to VPA grocerystore@okhdfc. Not you? Call the number on your card.",safe,safe_none
"Your UPI mandate for the SIP of Rs 3,499 will be debited on the 5th. No action needed.",safe,safe_none
Your test results from the Pune lab are ready. Collect them from the reception or download from the portal.,safe,safe_none
"Dear customer, your Kotak Bank cheque book request 3536502 has been dispatched to your registered address in Nagpur.",safe,safe_none
"You are the lucky winner of 10 Lakh from the Flipkart Big Billion Draw. Pay GST Rs 48,000 to release the amount.",scam,lottery_prize
Your HDFC Bank account statement for August is attached in the secure inbox at https://cybercrime.gov.in,safe,safe_none
"Hi Kavita, the Indore office visit is confirmed for next Tuesday. Travel desk will share the tickets.",safe,safe_none
Your verified account has won a free gift worth Rs 50 Lakh. Claim now http://tinyurl.com/kyc-updt before it expires in 24 hours.,scam,lottery_prize
Your order from Croma is packed and will be delivered to your Pune address tomorrow.,safe,safe_none
Emergency cash loan approved! Zero interest first month. Click https://paytm-kyc.tk/verify and allow contacts and gallery access.,scam,loan_app
"Aapka refund ready hai. Request accept karke UPI PIN daaliye, paisa turant aa jayega.",scam,upi_collect
"Bina document ke loan chahiye? Turant 75,000 paayein. App download karein http://192.168.44.10/netbanking",scam,loan_app
Delivery failed. Reschedule by paying a Rs 25 verification charge at http://sbi-kyc-verify.info/update,scam,delivery_parcel
"Badhai ho! Aapka number lottery mein select hua hai. Inaam 50 Lakh. WhatsApp karein aur 3,499 fees bharein.",scam,lottery_prize
ALERT PNB: Debit card will be deactivated in 1 hour. Verify card number and CVV here http://bit.ly/3xKyc9,scam,kyc_bank
"Your UPI mandate for the SIP of Rs 1,20,000 will be debited on the 5th. No action needed.",safe,safe_none
Your Amazon order is stuck. Confirm card details at http://bit.ly/3xKyc9 within 30 minutes to release the parcel.,scam,delivery_parcel
"Hi Meera, sending the meeting notes from today. Let me know if I missed anything.",safe,safe_none
RBI mandate: all PNB customers must re-do KYC before today 6 PM. Failure means permanent block. https://axisbank.verify-account.click/login,scam,kyc_bank
Your Bank of Baroda debit card ending 7712 has been dispatched and will reach you in 5 working days.,safe,safe_none
"Payment request of Rs 1 sent for account verification. Approve it with PIN, then we will credit Rs 9,850.",scam,upi_collect
Your PNB account KYC has expired. Click https://hdfc-secure-login.xyz/auth and submit details to avoid deactivation.,scam,kyc_bank
"I have transferred my inheritance to your name. Send Rs 75,000 legal fee to rbi.verify@okicici to complete the transfer.",scam,romance_matrimonial
"Aapka loan approve ho gaya hai. Sirf 1499 file charge bhejiye, phir 2 lakh account mein aa jayega.",scam,loan_app
"Sunita here from Decathlon support. Your replacement request 7075239 is approved, pickup is scheduled tomorrow.",safe,safe_none
Your monthly statement for the PNB credit card is ready. View it on the official app or https://www.onlinesbi.sbi,safe,safe_none
Transfer your entire bank balance to this RBI verification account. After the audit the money will be returned within 3 hours. Do not inform anyone.,scam,digital_arrest
"Antivirus subscription auto renewed for Rs 48,000. To cancel, call us and install our refund tool.",scam,tech_support
"DHL: your international shipment needs a customs duty of Rs 3,200. Pay to customs.clearance@okaxis to release it today.",scam,delivery_parcel
WiFi router hacked. Install this app https://paytm-kyc.tk/verify and share your screen so we can secure your device.,scam,tech_support
"Reminder: your electricity bill of Rs 25,000 is due on the 20th. Pay via the official app to avoid a late fee.",safe,safe_none
Decathlon loyalty: you earned 120 points on your last visit. Points never expire and no payment is needed to claim them.,safe,safe_none
"Your parcel is held at customs due to an incomplete address. Pay Rs 4,999 clearance fee here http://192.168.44.10/netbanking",scam,delivery_parcel
Your OTP for login is 667854. Do not share this OTP with anyone. - HDFC Bank,safe,safe_none
"Aapka courier customs mein ruka hai. Rs 48,000 duty kycsupport@ybl par bhejein warna wapas chala jayega.",scam,delivery_parcel
"We are from Narcotics Control Bureau. To prove your money is clean, deposit it in this safe government account refund.helpdesk@okaxis. It will be returned in 2 hours.",scam,digital_arrest
SBI branch in Bhopal will remain closed on Saturday for the regional holiday. ATMs will work as usual.,safe,safe_none
"Hi, this is Deepak from the Nagpur showroom. Your car service is complete, you can pick it up anytime today.",safe,safe_none
"My love, I am stuck at Delhi airport, customs is asking Rs 1,20,000. Please transfer to rbi.verify@okicici, I will return it.",scam,romance_matrimonial
"Your PNB A/c XX8834 is credited with Rs 9,850 salary on 01-09. Available balance Rs 62,410.",safe,safe_none
Delivery failed. Reschedule by paying a Rs 25 verification charge at http://192.168.44.10/netbanking,scam,delivery_parcel
Verification pending. Reply with the OTP received from Axis Bank to confirm you are the account holder.,scam,otp_phishing
"Reminder: your electricity bill of Rs 1,20,000 is due on the 20th. Pay via the official app to avoid a late fee.",safe,safe_none
"Canara Bank: Rs 3,499 has been credited to your account by NEFT from Sunita. Ref 1458324.",safe,safe_none
"Hi Ramesh, sending the meeting notes from today. Let me know if I missed anything.",safe,safe_none
"Aapka recharge Rs 4,999 ka safal raha. Validity 28 din.",safe,safe_none
Warrant issued in your name by CBI. Video call verification is mandatory within 30 minutes or the arrest team will reach your home.,scam,digital_arrest
"Your Paytm autopay for the mobile recharge of Rs 3,499 was successful. Validity extended by 28 days.",safe,safe_none
Invest in our IPO pre-listing shares and get assured 5x returns. Send funds to winner.claim@paytm before 24 hours.,scam,job_investment
"Payment request of Rs 1 sent for account verification. Approve it with PIN, then we will credit Rs 4,999.",scam,upi_collect
"Ramesh, the plumber is coming at 6 PM. Please keep the main door open.",safe,safe_none
"Electricity bill refund of Rs 25,000 pending. Accept the collect request from kycsupport@ybl using PIN.",scam,upi_collect
"I have transferred my inheritance to your name. Send Rs 9,850 legal fee to rbi.verify@okicici to complete the transfer.",scam,romance_matrimonial
"Congratulations, your Canara Bank fixed deposit of Rs 3,499 has matured. Visit your branch or netbanking to renew.",safe,safe_none
"Hi, this is Farhan from the Bhopal showroom. Your car service is complete, you can pick it up anytime today.",safe,safe_none
"Priya from HDFC Bank here, aapka khata band ho jayega. Turant KYC update karein http://rbi-refund.online/claim",scam,kyc_bank
Cafe Coffee Day sale starts Friday. Up to 40% off in store. No coupon or advance payment required.,safe,safe_none
"Payment request of Rs 1 sent for account verification. Approve it with PIN, then we will credit Rs 2,500.",scam,upi_collect
Your test results from the Nagpur lab are ready. Collect them from the reception or download from the portal.,safe,safe_none
YONO SBI: Your account will be blocked today because your PAN card is not updated. Update here http://yono-sbi-update.xyz/pan,scam,kyc_bank
"Aapse baat karke accha laga. Main foreign se gift bhej raha hoon, bas custom charge 75,000 bhar dijiye.",scam,romance_matrimonial
"Hi, this is Kavita from the Jaipur showroom. Your car service is complete, you can pick it up anytime today.",safe,safe_none
"Double your money in 15 days with our trading bot. Minimum investment Rs 4,999. 100% safe, no risk.",scam,job_investment
Your India Post parcel PKT8823 is on hold. Pay Rs 45 redelivery charge at http://indiapost-redeliver.click/pay within 24 hours.,scam,delivery_parcel
"Urgent: the flood relief fund needs your help. Donate Rs 1,20,000 to taskpay01@upi and save lives today.",scam,charity_donation
WiFi router hacked. Install this app http://bit.ly/3xKyc9 and share your screen so we can secure your device.,scam,tech_support
Your Canara Bank debit card ending 7712 has been dispatched and will reach you in 5 working days.,safe,safe_none
"Mumbai Cyber Cell speaking. Your bank account is linked to a terror funding case. Stay on the call, do not tell anyone, not even family.",scam,digital_arrest
"Dear user your Paytm KYC is incomplete, wallet will be closed in 30 minutes. Complete KYC http://bit.ly/3xKyc9",scam,kyc_bank
"Part time task job: complete 20 hotel ratings daily and earn Rs 4,999 weekly. Join the telegram group now.",scam,job_investment
853636 is the verification code for your Google Pay account. This code is only for you. We will never call to ask for it.,safe,safe_none
Reliance Fresh loyalty: you earned 120 points on your last visit. Points never expire and no payment is needed to claim them.,safe,safe_none
"Your Canara Bank A/c XX8834 is credited with Rs 48,000 salary on 01-09. Available balance Rs 62,410.",safe,safe_none
Your monthly statement for the HDFC Bank credit card is ready. View it on the official app or https://cybercrime.gov.in,safe,safe_none
"Cancer patient bachi ki jaan bachaiye, Rs 48,000 donate karein winner.claim@paytm par. Aaj hi zaroorat hai.",scam,charity_donation
"Hi, this is Sunita from the Bhopal showroom. Your car service is complete, you can pick it up anytime today.",safe,safe_none
"Loan recovery: pay Rs 25,000 now or we will send your photo to all your contacts.",scam,loan_app
235790 is the verification code for your Google Pay account. This code is only for you. We will never call to ask for it.,safe,safe_none
"Hi Farhan, the Indore office visit is confirmed for next Tuesday. Travel desk will share the tickets.",safe,safe_none
"Dear Customer, Rs 1,20,000 debited from your SBI A/c XX4521 on 12-08 to VPA grocerystore@okhdfc. Not you? Call the number on your card.",safe,safe_none
"Hi, I am HR from a top company. We have a data entry vacancy, salary 35000 per month. Pay Rs 9,850 security deposit to confirm.",scam,job_investment
"Double your money in 15 days with our trading bot. Minimum investment Rs 48,000. 100% safe, no risk.",scam,job_investment
"Dear user your Paytm KYC is incomplete, wallet will be closed in 24 hours. Complete KYC http://rbi-refund.online/claim",scam,kyc_bank
"Dear Customer, Rs 48,000 debited from your ICICI Bank A/c XX4521 on 12-08 to VPA grocerystore@okhdfc. Not you? Call the number on your card.",safe,safe_none
"You are under digital arrest by Narcotics Control Bureau. Transfer Rs 2,500 to the RBI verification account for clearance.",scam,digital_arrest
"Cancer patient bachi ki jaan bachaiye, Rs 75,000 donate karein taskpay01@upi par. Aaj hi zaroorat hai.",scam,charity_donation
"Paytm: Rs 25,000 paid to Decathlon. UPI Ref 4630676. Your balance has been updated.",safe,safe_none
Your Amazon order 402-3399 has been shipped and will arrive by Friday. Track at https://www.onlinesbi.sbi,safe,safe_none
Your OTP for login is 549465. Do not share this OTP with anyone. - ICICI Bank,safe,safe_none
Your OTP for login is 529050. Do not share this OTP with anyone. - PNB,safe,safe_none
"Your Canara Bank A/c XX8834 is credited with Rs 4,999 salary on 01-09. Available balance Rs 62,410.",safe,safe_none
"Hi, this is Sunita from the Pune showroom. Your car service is complete, you can pick it up anytime today.",safe,safe_none
"We matched on the matrimony site. I am posted abroad in the army. Please send Rs 9,850 for my leave papers.",scam,romance_matrimonial
Your Kotak Bank account statement for August is attached in the secure inbox at https://www.hdfcbank.com,safe,safe_none
"Urgent: the flood relief fund needs your help. Donate Rs 48,000 to taskpay01@upi and save lives today.",scam,charity_donation
PNB branch in Kochi will remain closed on Saturday for the regional holiday. ATMs will work as usual.,safe,safe_none
Invest in our IPO pre-listing shares and get assured 5x returns. Send funds to winner.claim@paytm before today 6 PM.,scam,job_investment
Your CIBIL score has been updated to 782. Check the detailed report on the official website.,safe,safe_none
"Hello, calling from the clinic to remind you about your dental appointment tomorrow at 4 PM. Reply YES to confirm.",safe,safe_none
"Google Pay: Rs 2,500 paid to Croma. UPI Ref 9238669. Your balance has been updated.",safe,safe_none
"Dear customer, your SBI cheque book request 2415576 has been dispatched to your registered address in Jaipur.",safe,safe_none
Your KYC has been successfully updated at the branch. No further action is required from your side.,safe,safe_none
"Your ICICI Bank A/c XX8834 is credited with Rs 25,000 salary on 01-09. Available balance Rs 62,410.",safe,safe_none
"Your Windows license has expired. Allow remote access via AnyDesk so our engineer can fix it. Fee Rs 48,000.",scam,tech_support
"Sir aapke Aadhaar se ek SIM card mila hai jo money laundering mein use hua. Yeh Mumbai Cyber Cell ki investigation hai, kisi ko mat batana.",scam,digital_arrest
Package delivered. Your Flipkart order was handed over at the security desk.,safe,safe_none
"Dear customer, your ICICI Bank cheque book request 8618806 has been dispatched to your registered address in Lucknow.",safe,safe_none
"Aapka case CBI ke paas hai. Camera on rakhein, room se bahar mat jaiye, warna arrest hoga.",scam,digital_arrest
"Bank of Baroda: Rs 25,000 has been credited to your account by NEFT from Farhan. Ref 8640844.",safe,safe_none
Your OTP for login is 158967. Do not share this OTP with anyone. - Axis Bank,safe,safe_none
"Sir, this is Rahul from your insurance branch. Your policy document is ready, you can collect it or I can courier it. There is no payment pending.",safe,safe_none
"Refund initiated. Approve the payment request of Rs 9,850 and enter PIN to get the money credited.",scam,upi_collect
"Your Paytm autopay for the mobile recharge of Rs 75,000 was successful. Validity extended by 28 days.",safe,safe_none
Your OTP for login is 628594. Do not share this OTP with anyone. - Bank of Baroda,safe,safe_none
"We matched on the matrimony site. I am posted abroad in the army. Please send Rs 75,000 for my leave papers.",scam,romance_matrimonial
"Dear customer, your Axis Bank cheque book request 5866011 has been dispatched to your registered address in Lucknow.",safe,safe_none
Your gas cylinder booking is confirmed. Delivery expected within 2 working days.,safe,safe_none
"Your loan is sanctioned. To release funds pay an insurance charge of Rs 25,000 to rbi.verify@okicici today only.",scam,loan_app
HDFC Bank branch in Jaipur will remain closed on Saturday for the regional holiday. ATMs will work as usual.,safe,safe_none
Your SBI account statement for August is attached in the secure inbox at https://www.irctc.co.in,safe,safe_none
Your Kotak Bank account statement for August is attached in the secure inbox at https://www.icicibank.com,safe,safe_none
229730 is the verification code for your Amazon Pay account. This code is only for you. We will never call to ask for it.,safe,safe_none
Reminder from the Nagpur municipal office: property tax can be paid online until 31st on the official portal.,safe,safe_none
Delivery failed. Reschedule by paying a Rs 25 verification charge at http://rbi-refund.online/claim,scam,delivery_parcel
Reminder from the Pune municipal office: property tax can be paid online until 31st on the official portal.,safe,safe_none
Your salary slip for August has been uploaded to the employee portal.,safe,safe_none
"Amazon Pay: You paid Rs 3,499 to Kirana Store. UPI Ref 3348219. Thank you.",safe,safe_none
"Loan recovery: pay Rs 48,000 now or we will send your photo to all your contacts.",scam,loan_app
"You have a collect request of Rs 3,499 from refund.helpdesk@okaxis. Enter your UPI PIN to receive your refund.",scam,upi_collect
Your Axis Bank debit card ending 7712 has been dispatched and will reach you in 5 working days.,safe,safe_none
"Priya from Canara Bank here, aapka khata band ho jayega. Turant KYC update karein http://rbi-refund.online/claim",scam,kyc_bank
Your card is blocked. Tell us the 6 digit OTP sent on your mobile to unblock it immediately.,scam,otp_phishing
"Hum Axis Bank se hain, aapke account mein galat paisa aa gaya hai. OTP share kijiye taaki wapas ho sake.",scam,otp_phishing
"NGO temple donation drive, transfer to rbi.verify@okicici. Your name will be announced in the prayer in 1 hour.",scam,charity_donation
"Hello dear, I am a doctor working in the UK. I want to send you a gift parcel, just pay the customs fee of Rs 25,000.",scam,romance_matrimonial
"Madam your son is arrested in a serious case. Send Rs 50,000 immediately to settle the matter, do not tell your husband.",scam,digital_arrest
Reminder from the Jaipur municipal office: property tax can be paid online until 31st on the official portal.,safe,safe_none
"Narcotics Control Bureau speaking. Your bank account is linked to a terror funding case. Stay on the call, do not tell anyone, not even family.",scam,digital_arrest
"HDFC Bank: Rs 9,850 has been credited to your account by NEFT from Farhan. Ref 9694288.",safe,safe_none
"Temple renovation fund, donate 501 or 1100 to templefund@upi and receive prasad at home. Blessings guaranteed.",scam,charity_donation
"PNB: Rs 75,000 has been credited to your account by NEFT from Farhan. Ref 5712811.",safe,safe_none
"Dear customer you won 25 Lakh in the Amazon anniversary lucky draw. Deposit refundable Rs 9,850 at taskpay01@upi.",scam,lottery_prize
"Hi Sunita, sending the meeting notes from today. Let me know if I missed anything.",safe,safe_none
SBI Security: unusual login detected. Confirm your identity within 2 hours at https://paytm-kyc.tk/verify or the account freezes.,scam,kyc_bank
554488 is the verification code for your PhonePe account. This code is only for you. We will never call to ask for it.,safe,safe_none
"Reminder: your electricity bill of Rs 3,499 is due on the 20th. Pay via the official app to avoid a late fee.",safe,safe_none
"Congratulations! You have won Rs 5 Crore in the Paytm Lucky Draw. Send Rs 75,000 processing fee to claim.",scam,lottery_prize
Your order from Big Bazaar is packed and will be delivered to your Lucknow address tomorrow.,safe,safe_none
Your ATM card is blocked due to KYC. Please send a photo of your card front and back on WhatsApp for reactivation.,scam,kyc_bank
"Delhi Police Crime Branch speaking. Your bank account is linked to a terror funding case. Stay on the call, do not tell anyone, not even family.",scam,digital_arrest
Big Bazaar sale starts Friday. Up to 40% off in store. No coupon or advance payment required.,safe,safe_none
"Electricity bill refund of Rs 25,000 pending. Accept the collect request from winner.claim@paytm using PIN.",scam,upi_collect
"Amazon Pay: Rs 4,999 paid to Reliance Fresh. UPI Ref 3894704. Your balance has been updated.",safe,safe_none
"Refund initiated. Approve the payment request of Rs 48,000 and enter PIN to get the money credited.",scam,upi_collect
"Congratulations, your resume is shortlisted for Amazon work from home. Pay refundable registration 25,000 at refund.helpdesk@okaxis.",scam,job_investment
"Badhai ho! Aapka number lottery mein select hua hai. Inaam 10 Lakh. WhatsApp karein aur 3,499 fees bharein.",scam,lottery_prize
"We are from Customs Department. To prove your money is clean, deposit it in this safe government account taskpay01@upi. It will be returned in 2 hours.",scam,digital_arrest
Your OTP for login is 884389. Do not share this OTP with anyone. - Axis Bank,safe,safe_none
Reminder from the Indore municipal office: property tax can be paid online until 31st on the official portal.,safe,safe_none
Sir I am calling from Kotak Bank. To reverse the wrong transaction please share the OTP you just received.,scam,otp_phishing
ICICI Bank branch in Nagpur will remain closed on Saturday for the regional holiday. ATMs will work as usual.,safe,safe_none
Aapka SBI YONO account aaj band ho jayega. PAN update karein: http://sbi-pan-kyc.top,scam,kyc_bank
"Your PhonePe autopay for the mobile recharge of Rs 3,499 was successful. Validity extended by 28 days.",safe,safe_none
"To receive your cashback of Rs 4,999 scan the QR and enter your UPI PIN now.",scam,upi_collect
"You are the lucky winner of 12 Lakh from the Flipkart Big Billion Draw. Pay GST Rs 3,499 to release the amount.",scam,lottery_prize
108840 is the verification code for your Google Pay account. This code is only for you. We will never call to ask for it.,safe,safe_none
"Congratulations, your Canara Bank fixed deposit of Rs 48,000 has matured. Visit your branch or netbanking to renew.",safe,safe_none
"Instant loan Rs 9,850 approved without documents! Download our app from http://kyc-update-online.loan/form and get money in 5 minutes.",scam,loan_app
India Post: shipment could not be delivered. Update the address within 24 hours at http://bit.ly/3xKyc9 or it will be returned.,scam,delivery_parcel
India Post: shipment could not be delivered. Update the address within 24 hours at http://kyc-update-online.loan/form or it will be returned.,scam,delivery_parcel
Final reminder from PNB. Account dormant hone se bachane ke liye https://axisbank.verify-account.click/login par details bharein.,scam,kyc_bank
This is Customs Department. A parcel in your name contains illegal items. Do not disconnect this call. Join the Skype video verification now.,scam,digital_arrest
"Ghar baithe kaam karein, roz 3000 rupaye kamayein. Sirf mobile chahiye. Registration fees 2,500 only.",scam,job_investment
URGENT: SBI netbanking suspended. Re-verify your PAN and Aadhaar now: http://kyc-update-online.loan/form,scam,kyc_bank
